,Package,Description,Tests
0,hemoglobin hb ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
A hemoglobin test is a crucial diagnostic tool used to assess the levels of hemoglobin in the blood. Hemoglobin is a protein present in red blood cells and plays a pivotal role in transporting oxygen from the lungs to various tissues and organs in the body. Monitoring hemoglobin levels is essential as minor to major deviations from the normal range can cause various health conditions like anaemia, polycythemia, or other severe health hazards like organ damage.
The top Serum hemoglobin tests are available in Anna Nagar, .
Read More","Test(s) Included (1)
Hemoglobin
1 Test Included"
1,rbc count ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The RBC count is also known as the Red Blood Cell count or Erythrocyte count. It helps to determine the number of red blood cells. It also helps in diagnosing or monitoring the conditions that affect the red blood cells. The RBC count is done: • As a part of complete blood count • In case of signs or symptoms of anemia or polycythemia • To monitor the conditions that affect the red blood cells
Read More","Test(s) Included (1)
RBC COUNT
1 Test Included"
2,vitamin b12 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Vitamin B12 Test
Test Overview
Sample Type Blood
Reports Delivery 6 Hrs
Price/Cost ₹1350
Number of Tests Included   1
What is a Vitamin B12 Test?
A vitamin B12 test is a simple blood examination that measures the amount of vitamin B12 present in your body. Vitamin B12, also known as cobalamin, plays an essential role in your overall health. It contributes to the healthy functioning of the brain, nerves, and blood cells. Hence, knowing your vitamin B12 level can offer valuable insights into your overall health condition.



Read More","Test(s) Included (1)
VITAMIN B12
1 Test Included"
3,lactate dehydrogenase ldh serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Lactate dehydrogenase (LDH) test helps to detect conditions that are responsible for causing tissue damage. Examples include diseases of the liver or blood. It helps to monitor the progress of tissue damage and determines prognosis. It is also used to evaluate response to cancer treatment and body fluids other than blood. The lactate dehydrogenase test is done: • In case of tissue damage • To detect cancer • In case of symptoms of meningitis • In case of fluid accumulation in specific parts of the body
Read More","Test(s) Included (1)
LACTATE DEHYDROGENASE (LDH) - SERUM
1 Test Included"
4,abnormal hb studies hb electrophoresis ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Abnormal Hb studies (Hb electrophoresis) test helps to measure hemoglobin in red blood cells. It is also known as hemoglobin evaluation or sickle cell screen. The Abnormal Hb studies (Hb electrophoresis) test helps to measure hemoglobin in red blood cells. It is also known as hemoglobin evaluation or sickle cell screen.
The Abnormal Hb studies (Hb electrophoresis) test is done:
In case of symptoms of blood disorder
In case one has a blood disorder
Read More","Test(s) Included (19)
ABNORMAL HB STUDIES (HB ELECTROPHORESIS)
19 Tests Included"
5,folic acid serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Folic Acid, Serum
Test Overview
Sample Type Blood
Reports Delivery 24Hrs
Price/Cost ₹1550
Number of Tests Included 1
What is a Folic Acid, Serum Test?
A folate test, often referred to as a folic acid serum test, is a common medical examination that measures the quantity of folic acid or vitamin B9 in your blood. This folic acid test evaluates your body's reserves of this essential nutrient, providing crucial insights into your health and wellness. The folic acid serum test purpose is to quantify the amount of folic acid, an integral component required for various bodily functions such as producing red blood cells and developing the nervous system.


Read More","Test(s) Included (1)
Folic Acid, Serum
1 Test Included"
6,iron serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Iron – Serum Test
Test Overview
Sample Type Blood
Reports Delivery 10 Hrs
Price/Cost ₹510
Number of Tests Included   1
What is an Iron – Serum Test?
An iron – serum test, commonly known as the 'iron blood test' or 'iron profile test', is a crucial medical examination that helps doctors determine the amount of iron present in your bloodstream. The test primarily involves collecting a small sample of your blood. This collected sample is then meticulously analysed in a laboratory to ascertain the iron levels.




Read More","Test(s) Included (1)
IRON - SERUM
1 Test Included"
7,bilirubin total direct indirect serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Bilirubin Serum – Total/Direct/Indirect test helps to screen for or monitor disorders of liver or hemolytic anemia. It also helps to monitor neonatal jaundice. The Bilirubin Serum – Total/Direct/Indirect test is done: • In case of signs and symptoms of liver damage or disease • In case of signs and symptoms of bile duct blockage • In case of signs and symptoms of hemolytic anemia • In case of jaundice in newborn
Read More","Test(s) Included (3)
Bilirubin Serum - Total/Direct/Indirect
3 Tests Included"
8,dengue ns1 antigen elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dengue NS1 Antigen - ELISA
Test Overview
Sample Type Blood
Reports Delivery 10 Hrs
Price/Cost ₹660
Number of Tests Included   1
What is a Dengue NS1 Antigen - ELISA Test?
A dengue NS1 ELISA test, or enzyme-linked immunosorbent assay test, acts as a vital marker for early detection of dengue. The dengue virus, carried by female mosquitoes, primarily Aedes aegypti and Aedes albopictus species, can transmit to humans through a mosquito bite. These species are largely found across tropical and subtropical regions worldwide. This test is specifically designed to spot the non-structural protein 1 (NS1) antigen, which is a protein produced by the dengue virus itself. The presence of this antigen in human serum or plasma can indicate a dengue infection.






Read More","Test(s) Included (1)
DENGUE NS1 ANTIGEN - ELISA
1 Test Included"
9,dengue profile igg and igm antibody and ns1 antigen elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Dengue profile (IgG & IgM antibody & NS1 antigen) helps to detect the dengue virus. This test also helps to differentiate the diagnosis of fever. It also detects antibodies against dengue virus. The Dengue profile (IgG & IgM antibody & NS1 antigen) is done: • To diagnose dengue virus infection at an early stage • In cases of initial treatment of dengue virus infection • Along with a current antibody test • For differential diagnosis of flaviviruses • For differential diagnosis of fever
Read More","Test(s) Included (3)
Dengue Profile - Elisa
3 Tests Included"
10,peripheral smear for malarial parasite mp ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Peripheral smear for Malarial parasite helps to detect the presence of the malarial parasite in the blood. The malarial parasite is detected when an individual is suffering from malaria. Anopheles mosquito if infected with malaria can transfer the malarial parasite to human blood by its bite. The Peripheral smear for Malarial parasite is done: • To detect malaria • To monitor the ongoing treatment for malaria
Read More","Test(s) Included (3)
PERIPHERAL SMEAR FOR MALARIAL PARASITE (MP)
3 Tests Included"
11,dengue igm rapid ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dengue IgM - Rapid is a diagnostic test that detects the presence of dengue virus in the blood of the person. The test is performed to identify dengue fever in the early stage, which means within the first five days of infection. The rapid result of the test makes it convenient for individuals to start treatment early and take preventive measures to avoid further complications.
Dengue fever is a mosquito-borne disease caused by one of the four dengue viruses. It is prevalent in tropical and subtropical regions and can cause mild to severe flu-like symptoms. People affected by the dengue virus experience symptoms such as high fever, headache, muscle and joint pains, nausea, vomiting, and rash. In some cases, it can lead to severe bleeding, organ failure, and even death.









Read More","Test(s) Included (1)
Dengue IgM Rapid
1 Test Included"
12,dengue igg and igm elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Dengue profile IgG & IgM - ELISA test helps to detect the dengue virus. This test also helps to differentiate the diagnosis of fever. It also detects antibodies against dengue virus. This test is carried out through ELISA method.   The Dengue profile IgG & IgM antibody is done: • To diagnose dengue virus infection at an early stage • In cases of initial treatment of dengue virus infection • Along with a current antibody test • For differential diagnosis of flaviviruses • For differential diagnosis of fever
Read More","Test(s) Included (2)
DENGUE IgG & IgM - ELISA
2 Tests Included"
13,dengue igm elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test is used to detect the dengue virus or antibodies produced in response to dengue infection. Dengue fever is a viral disease that is transmitted by mosquitoes to humans. According to the WHO (World Health Organization), dengue is a fast-emerging infectious disease. More than 100 countries have reported dengue infections as per CDC (Centres for Disease Control and Prevention). The primary symptoms of dengue fever include sudden high fever and flu-like symptoms that develop about 4 to 7 days after being bitten by a dengue mosquito. Other signs and symptoms include severe headache, joint and muscle pain, vomiting, nausea, skin rash and swollen glands. If dengue is not treated, it can become worse and become fatal.
Read More","Test(s) Included (1)
DENGUE IgM - ELISA
1 Test Included"
14,dengue rna pcr qualitative ,"About
Sample
CSF/SERUM/WHOLE BLOOD EDTA
Gender
Both
Age group
7 years & above
Dengue is a viral infection that is transmitted through the bite of the Aedes mosquito. The disease is prevalent in tropical and subtropical regions of the world, and its incidence has been increasing rapidly in recent years. The infection can cause a wide range of symptoms, from mild flu-like symptoms to severe dengue fever and dengue hemorrhagic fever. The Dengue - RNA PCR - Qualitative Test is a diagnostic test used to detect the presence of dengue virus RNA in blood samples.








Read More","Test(s) Included (1)
Dengue - RNA PCR - Qualitative
1 Test Included"
15,malarial antigen vivax and falciparum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Malarial Antigen (Vivax and Falciparum) test helps to detect malaria antigens in the blood. The malarial parasite is detected when an individual is suffering from malaria. Anopheles mosquito if infected with malaria can transfer the malarial parasite to human blood by its bite. The Malarial Antigen (Vivax and Falciparum) test is done: • In case of signs or symptoms like fever with chills, nausea, vomiting, headache, diarrhea, and profuse sweating • As a part of fever panel check-up
Read More","Test(s) Included (2)
Malarial Antigen ( Vivax And Falciparum)
2 Tests Included"
16,tlc dlc malaria parasite ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The TLC, DLC, Malaria Parasite Test is a laboratory test conducted to detect various conditions and diseases related to blood disorders and infections. This comprehensive Test includes tests for Total Leukocyte Count (TLC), Differential Leukocyte Count (DLC), and the presence of malaria parasites. These tests provide valuable insights into the overall health of an individual's immune system and help in identifying various blood-related disorders and infections.

The symptoms for which your healthcare provider may recommend this test to you include:
















Read More","Test(s) Included (23)
TLC,DLC,Malaria Parasite
23 Tests Included"
17,apollo full body checkup essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Full Body Checkup In Chennai
Introduction
A busy lifestyle, along with lengthy periods of inactivity and poor eating habits, can have a significant impact on your overall health. To reduce the potential risks to your health down the road, it's essential to consistently monitor your health parameters. A comprehensive full body checkup can provide detailed insights into your important health indicators. The checkup can aid in the early detection of potential health issues, allowing individuals to make proactive efforts towards regaining their maximum health.













Read More","Test(s) Included (79)
Blood Studies (Anemia) (29)
Heart (Cardiac) (11)
Liver (10)
Kidney (22)
Others (1)
Thyroid (1)
Vitamin (1)
Infection (2)
Hepatitis Screening (2)"
